Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Administration of Justice-Off--L8001,,Wsch/Ftef,0 Days,All,561.316632683
2016FA,Administration of Justice-Off--L8001,,Success Rate,0 Days,All,0.942857143
2016FA,Administration of Justice-Off--L8001,,Sec. Count,0 Days,All,1
2016FA,Administration of Justice-Off--L8001,,Retention Rate,0 Days,All,0.971428571
2016FA,Administration of Justice-Off--L8001,,Number Retained,0 Days,All,34
2016FA,Administration of Justice-Off--L8001,,Ftes/Ftef,0 Days,All,19.242644917
2016FA,Administration of Justice-Off--L8001,,Current Fill Rate,0 Days,All,0.618181818
2016FA,Administration of Justice-Off--L8001,,Census Fill Rate,0 Days,All,0.618181818
2016FA,Administration of Justice-Off--L8001,,Census Enrollment,0 Days,All,34
2016FA,Administration of Justice-Off--L8001,,Number Successful,0 Days,All,33
2016FA,Administration of Justice-Off--L8001,,Ftef,0 Days,All,3.433
2016FA,Administration of Justice-Off--L8001,,Ftes,0 Days,All,66.06
2016FA,Administration of Justice-Off--L8001,,Enrollment Capacity,0 Days,All,55
2016FA,Administration of Justice-Off--L8001,,Count of Migrated Data,0 Days,All,1
2016FA,Administration of Justice-Off--L8001,,Current Enrollment,0 Days,All,34
2016FA,Allied Health--L6002,,Wsch/Ftef,0 Days,All,563.693434476
2016FA,Allied Health--L6002,,Success Rate,0 Days,All,0.789976134
2016FA,Allied Health--L6002,,Sec. Count,0 Days,All,14
2016FA,Allied Health--L6002,,Retention Rate,0 Days,All,0.859188544
2016FA,Allied Health--L6002,,Number Retained,0 Days,All,360
2016FA,Allied Health--L6002,,Ftes/Ftef,0 Days,All,18.799372221
2016FA,Allied Health--L6002,,Current Fill Rate,0 Days,All,0.809523810
2016FA,Allied Health--L6002,,Census Fill Rate,0 Days,All,0.809523810
2016FA,Allied Health--L6002,,Census Enrollment,0 Days,All,357
2016FA,Allied Health--L6002,,Number Successful,0 Days,All,331
2016FA,Allied Health--L6002,,Ftef,0 Days,All,3.823
2016FA,Allied Health--L6002,,Ftes,0 Days,All,71.87
2016FA,Allied Health--L6002,,Enrollment Capacity,0 Days,All,441
2016FA,Allied Health--L6002,,Count of Migrated Data,0 Days,All,14
2016FA,Allied Health--L6002,,Current Enrollment,0 Days,All,357
2016FA,Art--B5002,,Wsch/Ftef,0 Days,All,593.333333333
2016FA,Art--B5002,,Success Rate,0 Days,All,0.704761905
2016FA,Art--B5002,,Sec. Count,0 Days,All,3
2016FA,Art--B5002,,Retention Rate,0 Days,All,0.819047619
2016FA,Art--B5002,,Number Retained,0 Days,All,86
2016FA,Art--B5002,,Ftes/Ftef,0 Days,All,19.833333333
2016FA,Art--B5002,,Current Fill Rate,0 Days,All,0.904761905
2016FA,Art--B5002,,Census Fill Rate,0 Days,All,0.904761905
2016FA,Art--B5002,,Census Enrollment,0 Days,All,114
2016FA,Art--B5002,,Number Successful,0 Days,All,74
2016FA,Art--B5002,,Ftef,0 Days,All,0.6
2016FA,Art--B5002,,Ftes,0 Days,All,11.9
2016FA,Art--B5002,,Enrollment Capacity,0 Days,All,126
2016FA,Art--B5002,,Count of Migrated Data,0 Days,All,3
2016FA,Art--B5002,,Current Enrollment,0 Days,All,114
2016FA,Art--L5002,,Wsch/Ftef,0 Days,All,524.615384615
2016FA,Art--L5002,,Success Rate,0 Days,All,0.735502122
2016FA,Art--L5002,,Sec. Count,0 Days,All,29
2016FA,Art--L5002,,Retention Rate,0 Days,All,0.858557284
2016FA,Art--L5002,,Number Retained,0 Days,All,607
2016FA,Art--L5002,,Ftes/Ftef,0 Days,All,17.493846154
2016FA,Art--L5002,,Current Fill Rate,0 Days,All,0.714975845
2016FA,Art--L5002,,Census Fill Rate,0 Days,All,0.714975845
2016FA,Art--L5002,,Census Enrollment,0 Days,All,740
2016FA,Art--L5002,,Number Successful,0 Days,All,520
2016FA,Art--L5002,,Ftef,0 Days,All,6.5
2016FA,Art--L5002,,Ftes,0 Days,All,113.71
2016FA,Art--L5002,,Enrollment Capacity,0 Days,All,1035
2016FA,Art--L5002,,Count of Migrated Data,0 Days,All,29
2016FA,Art--L5002,,Current Enrollment,0 Days,All,740
2016FA,Behavioral Science--B5005,,Wsch/Ftef,0 Days,All,584.666666667
2016FA,Behavioral Science--B5005,,Success Rate,0 Days,All,0.795053004
2016FA,Behavioral Science--B5005,,Sec. Count,0 Days,All,15
2016FA,Behavioral Science--B5005,,Retention Rate,0 Days,All,0.908127208
2016FA,Behavioral Science--B5005,,Number Retained,0 Days,All,514
2016FA,Behavioral Science--B5005,,Ftes/Ftef,0 Days,All,19.486666667
2016FA,Behavioral Science--B5005,,Current Fill Rate,0 Days,All,0.84
2016FA,Behavioral Science--B5005,,Census Fill Rate,0 Days,All,0.84
2016FA,Behavioral Science--B5005,,Census Enrollment,0 Days,All,567
2016FA,Behavioral Science--B5005,,Number Successful,0 Days,All,450
2016FA,Behavioral Science--B5005,,Ftef,0 Days,All,3
2016FA,Behavioral Science--B5005,,Ftes,0 Days,All,58.46
2016FA,Behavioral Science--B5005,,Enrollment Capacity,0 Days,All,675
2016FA,Behavioral Science--B5005,,Count of Migrated Data,0 Days,All,15
2016FA,Behavioral Science--B5005,,Current Enrollment,0 Days,All,567
2016FA,Behavioral Science--L5005,,Wsch/Ftef,0 Days,All,627.678571429
2016FA,Behavioral Science--L5005,,Success Rate,0 Days,All,0.625429553
2016FA,Behavioral Science--L5005,,Sec. Count,0 Days,All,28
2016FA,Behavioral Science--L5005,,Retention Rate,0 Days,All,0.817869416
2016FA,Behavioral Science--L5005,,Number Retained,0 Days,All,952
2016FA,Behavioral Science--L5005,,Ftes/Ftef,0 Days,All,20.921428571
2016FA,Behavioral Science--L5005,,Current Fill Rate,0 Days,All,0.914741036
2016FA,Behavioral Science--L5005,,Census Fill Rate,0 Days,All,0.914741036
2016FA,Behavioral Science--L5005,,Census Enrollment,0 Days,All,1148
2016FA,Behavioral Science--L5005,,Number Successful,0 Days,All,728
2016FA,Behavioral Science--L5005,,Ftef,0 Days,All,5.6
2016FA,Behavioral Science--L5005,,Ftes,0 Days,All,117.16
